report_month,project_id,anomaly_type,value,previous_value,severity,source_file,source_page,notes
2026-05,400426,DECREASE_PHYSICAL_PROGRESS,23.5,84.87,REVIEW,FlashReport_May2026.pdf,68,Source value retained unchanged; decrease is not treated as an error.
2026-07,602098,DISAPPEAR_REAPPEAR,2025-08,,REVIEW,FlashReport_July_2026-1.pdf,70,Missing between observed months; not interpreted as completion.
2025-10,602181,DECREASE_EXPENDITURE,3817.49,4656.92,REVIEW,FlashReport_October_2025.pdf,47,Source value retained unchanged; decrease is not treated as an error.
2026-07,602182,DECREASE_REVISED_COST,31876.39,31876.4,REVIEW,FlashReport_July_2026-1.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2025-10,602185,DECREASE_EXPENDITURE,6769.58,7260.25,REVIEW,FlashReport_October_2025.pdf,48,Source value retained unchanged; decrease is not treated as an error.
2025-12,602185,DECREASE_EXPENDITURE,6769.58,7291.0,REVIEW,FlashReport_December_2025.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-06,602185,DECREASE_EXPENDITURE,7766.24,7791.33,REVIEW,FlashReport_June_2026.pdf,67,Source value retained unchanged; decrease is not treated as an error.
2026-06,602185,DECREASE_PHYSICAL_PROGRESS,75.81,77.0,REVIEW,FlashReport_June_2026.pdf,67,Source value retained unchanged; decrease is not treated as an error.
2025-12,602195,DECREASE_EXPENDITURE,5004.46,5328.31,REVIEW,FlashReport_December_2025.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2025-12,602195,DECREASE_REVISED_COST,6405.08,6823.72,REVIEW,FlashReport_December_2025.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2025-10,602538,DECREASE_EXPENDITURE,929.99,1098.16,REVIEW,FlashReport_October_2025.pdf,48,Source value retained unchanged; decrease is not treated as an error.
2025-10,602538,DECREASE_PHYSICAL_PROGRESS,67.0,92.0,REVIEW,FlashReport_October_2025.pdf,48,Source value retained unchanged; decrease is not treated as an error.
2025-10,602538,DECREASE_REVISED_COST,1037.0,1106.0,REVIEW,FlashReport_October_2025.pdf,48,Source value retained unchanged; decrease is not treated as an error.
2026-07,602579,DECREASE_REVISED_COST,13756.56,13756.6,REVIEW,FlashReport_July_2026-1.pdf,62,Source value retained unchanged; decrease is not treated as an error.
2026-07,602593,DECREASE_REVISED_COST,4345.31,4681.64,REVIEW,FlashReport_July_2026-1.pdf,62,Source value retained unchanged; decrease is not treated as an error.
2025-10,602792,DECREASE_EXPENDITURE,376.0,848.0,REVIEW,FlashReport_October_2025.pdf,62,Source value retained unchanged; decrease is not treated as an error.
2026-07,602797,DECREASE_EXPENDITURE,185.23,296.61,REVIEW,FlashReport_July_2026-1.pdf,87,Source value retained unchanged; decrease is not treated as an error.
2026-07,602797,DECREASE_PHYSICAL_PROGRESS,15.0,33.0,REVIEW,FlashReport_July_2026-1.pdf,87,Source value retained unchanged; decrease is not treated as an error.
2026-07,602961,DISAPPEAR_REAPPEAR,2025-09;2025-10;2025-11;2025-12;2026-01,,REVIEW,FlashReport_July_2026-1.pdf,62,Missing between observed months; not interpreted as completion.
2026-05,603293,DECREASE_EXPENDITURE,431.81,471.08,REVIEW,FlashReport_May2026.pdf,60,Source value retained unchanged; decrease is not treated as an error.
2026-07,604791,DISAPPEAR_REAPPEAR,2025-09;2025-10;2025-11;2025-12;2026-01,,REVIEW,FlashReport_July_2026-1.pdf,72,Missing between observed months; not interpreted as completion.
2026-07,604795,DISAPPEAR_REAPPEAR,2025-09;2025-10;2025-11;2025-12;2026-01,,REVIEW,FlashReport_July_2026-1.pdf,75,Missing between observed months; not interpreted as completion.
2026-01,604833,DECREASE_EXPENDITURE,247.89,249.5,REVIEW,FlashReport_January_2026.pdf,75,Source value retained unchanged; decrease is not treated as an error.
2025-08,604852,DECREASE_EXPENDITURE,216.66,236.22,REVIEW,FlashReport_August_2025.pdf,50,Source value retained unchanged; decrease is not treated as an error.
2026-01,604853,DECREASE_EXPENDITURE,1834.01,1885.39,REVIEW,FlashReport_January_2026.pdf,76,Source value retained unchanged; decrease is not treated as an error.
2026-07,604859,DECREASE_EXPENDITURE,8870.29,70820.19,REVIEW,FlashReport_July_2026-1.pdf,74,Source value retained unchanged; decrease is not treated as an error.
