report_month,state,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2025-10,West Bengal,57.0,129106.64,141339.08,68454.84,State-Wise-Report.csv,aggregate_csv
2025-10,Madhya Pradesh,57.0,170716.27,185244.26,89937.76,State-Wise-Report.csv,aggregate_csv
2025-10,Odisha,62.0,182764.78,191361.01,97459.83,State-Wise-Report.csv,aggregate_csv
2025-10,Andhra Pradesh,51.0,129035.81,182840.47,103817.32,State-Wise-Report.csv,aggregate_csv
2025-10,Bihar,51.0,128195.99,139384.37,71848.1,State-Wise-Report.csv,aggregate_csv
2025-10,Chhattisgarh,51.0,120260.7,125145.95,51522.28,State-Wise-Report.csv,aggregate_csv
2025-10,Karnataka,44.0,98956.79,114586.88,73896.35,State-Wise-Report.csv,aggregate_csv
2025-10,Telangana,34.0,47037.68,63599.11,32697.25,State-Wise-Report.csv,aggregate_csv
2025-10,Assam,32.0,67184.4,101823.62,82828.82,State-Wise-Report.csv,aggregate_csv
2025-10,Rajasthan,56.0,214933.5,327156.91,243520.53,State-Wise-Report.csv,aggregate_csv
2025-11,Nagaland,6.0,23666.28,25254.95,17940.18,State-Wise-Report.csv,aggregate_csv
2025-11,Himachal Pradesh,11.0,25881.08,31626.71,14967.86,State-Wise-Report.csv,aggregate_csv
2025-11,Kerala,11.0,16947.94,22490.53,9365.35,State-Wise-Report.csv,aggregate_csv
2025-11,Arunachal Pradesh,11.0,101491.54,162801.65,108201.68,State-Wise-Report.csv,aggregate_csv
2025-11,Uttarakhand,8.0,54105.27,68706.57,46938.78,State-Wise-Report.csv,aggregate_csv
2025-11,Sikkim,8.0,29905.83,38993.6,29809.05,State-Wise-Report.csv,aggregate_csv
2025-11,Manipur,6.0,31554.24,40783.86,30354.92,State-Wise-Report.csv,aggregate_csv
2025-11,Jammu & Kashmir,13.0,27745.4,33928.63,16676.95,State-Wise-Report.csv,aggregate_csv
2025-11,Mizoram,4.0,15076.27,16664.94,12199.56,State-Wise-Report.csv,aggregate_csv
2025-11,Tripura,4.0,15241.66,16752.51,12609.16,State-Wise-Report.csv,aggregate_csv
2025-11,Goa,3.0,6060.18,6438.31,6370.26,State-Wise-Report.csv,aggregate_csv
2025-11,Dadra & Nagar Haveli and Daman & Diu,3.0,112756.26,112756.26,88518.84,State-Wise-Report.csv,aggregate_csv
2025-11,Ladakh,2.0,816.89,941.13,719.08,State-Wise-Report.csv,aggregate_csv
2025-11,Puducherry,2.0,1331.34,1525.34,1128.32,State-Wise-Report.csv,aggregate_csv
2025-11,Meghalaya,4.0,15842.81,17431.48,12649.52,State-Wise-Report.csv,aggregate_csv
2025-11,Punjab,15.0,39196.9,40648.05,24105.36,State-Wise-Report.csv,aggregate_csv
2025-11,Andaman & Nicobar,1.0,209.88,209.88,0.0,State-Wise-Report.csv,aggregate_csv
2025-11,Tamil Nadu,20.0,114627.68,126405.91,43930.9,State-Wise-Report.csv,aggregate_csv
2025-11,Maharashtra,114.0,435372.53,554677.16,379894.49,State-Wise-Report.csv,aggregate_csv
2025-11,Gujarat,75.0,395988.91,525967.16,402024.94,State-Wise-Report.csv,aggregate_csv
2025-11,Jharkhand,67.0,170388.09,181863.35,73353.53,State-Wise-Report.csv,aggregate_csv
2025-11,Odisha,61.0,179356.17,189046.89,98183.04,State-Wise-Report.csv,aggregate_csv
2025-11,West Bengal,61.0,134308.04,148733.14,70283.82,State-Wise-Report.csv,aggregate_csv
2025-11,Uttar Pradesh,60.0,247935.17,332784.47,250843.3,State-Wise-Report.csv,aggregate_csv
2025-11,Madhya Pradesh,58.0,172508.27,187060.59,84210.29,State-Wise-Report.csv,aggregate_csv
2025-11,Haryana,17.0,128134.26,205056.88,172309.3,State-Wise-Report.csv,aggregate_csv
2025-11,Bihar,53.0,132581.37,143769.91,72565.33,State-Wise-Report.csv,aggregate_csv
2025-11,Andhra Pradesh,52.0,133571.8,188108.37,104758.91,State-Wise-Report.csv,aggregate_csv
2025-11,Chhattisgarh,51.0,121342.23,129647.3,53182.02,State-Wise-Report.csv,aggregate_csv
2025-11,Karnataka,46.0,104499.78,120129.87,73388.15,State-Wise-Report.csv,aggregate_csv
2025-11,Telangana,34.0,47041.55,63602.98,33160.19,State-Wise-Report.csv,aggregate_csv
2025-11,Assam,33.0,68312.88,102952.1,82231.3,State-Wise-Report.csv,aggregate_csv
2025-11,Delhi,27.0,139411.5,139414.43,53496.64,State-Wise-Report.csv,aggregate_csv
2025-11,Rajasthan,55.0,213267.5,324938.91,244937.07,State-Wise-Report.csv,aggregate_csv
2025-12,Haryana,25.0,137386.26,214605.28,177431.8,State-Wise-Report.csv,aggregate_csv
2025-12,Himachal Pradesh,24.0,34965.13,42938.03,106359.59,State-Wise-Report.csv,aggregate_csv
2025-12,Nagaland,24.0,29533.33,31676.05,18412.67,State-Wise-Report.csv,aggregate_csv
2025-12,Delhi,19.0,133694.17,134853.51,52506.66,State-Wise-Report.csv,aggregate_csv
2025-12,Uttarakhand,18.0,61030.95,75214.72,50901.06,State-Wise-Report.csv,aggregate_csv
2025-12,Arunachal Pradesh,16.0,61698.52,86638.73,46251.95,State-Wise-Report.csv,aggregate_csv
2025-12,Mizoram,15.0,22069.22,23802.45,12836.17,State-Wise-Report.csv,aggregate_csv
2025-12,Goa,5.0,6928.4,7229.21,6677.59,State-Wise-Report.csv,aggregate_csv
2025-12,Meghalaya,13.0,19980.87,21504.72,12888.42,State-Wise-Report.csv,aggregate_csv
2025-12,Tripura,12.0,20132.36,21667.74,12663.22,State-Wise-Report.csv,aggregate_csv
2025-12,Ladakh,5.0,2001.16,2125.4,721.79,State-Wise-Report.csv,aggregate_csv
2025-12,Puducherry,4.0,5819.51,5841.01,2452.55,State-Wise-Report.csv,aggregate_csv
2025-12,Dadra & Nagar Haveli and Daman & Diu,3.0,112756.26,112756.26,89696.38,State-Wise-Report.csv,aggregate_csv
2025-12,Kerala,26.0,58672.27,67012.35,23319.33,State-Wise-Report.csv,aggregate_csv
