report_month,sector,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2026-03,Electricity Generation,36.0,303249.73,358519.34,156578.82,Sector-Wise-Report.csv,aggregate_csv
2026-03,Healthcare,36.0,20969.86,25421.25,10008.54,Sector-Wise-Report.csv,aggregate_csv
2026-03,Water Resources,41.0,117826.11,221647.32,159574.65,Sector-Wise-Report.csv,aggregate_csv
2026-03,Transmission & Distribution,68.0,203786.64,209750.21,65534.82,Sector-Wise-Report.csv,aggregate_csv
2026-03,Oil & Gas,93.0,363711.6,392245.55,198328.45,Sector-Wise-Report.csv,aggregate_csv
2026-03,Coal,119.0,189003.44,186741.43,49559.67,Sector-Wise-Report.csv,aggregate_csv
2026-03,Railways,246.0,690682.92,841906.58,571254.58,Sector-Wise-Report.csv,aggregate_csv
2026-03,Roads & Highways,1120.0,1034561.22,1060739.73,351917.45,Sector-Wise-Report.csv,aggregate_csv
2026-03,Aviation & Aviation Infrastructure,26.0,21600.76,22814.76,10583.3,Sector-Wise-Report.csv,aggregate_csv
2026-04,Steel,19.0,18161.41,21399.7,9471.99,Sector-Wise-Report.csv,aggregate_csv
2026-04,Energy Storage,17.0,81207.16,120038.39,98707.47,Sector-Wise-Report.csv,aggregate_csv
2026-04,Telecommunication,14.0,151923.46,274015.99,77298.07,Sector-Wise-Report.csv,aggregate_csv
2026-04,Inland Waterways,2.0,5546.18,5258.15,4190.19,Sector-Wise-Report.csv,aggregate_csv
2026-04,Metals & Mining,7.0,10044.36,12480.73,7284.31,Sector-Wise-Report.csv,aggregate_csv
2026-04,Real Estate,6.0,37591.1,37582.1,13929.25,Sector-Wise-Report.csv,aggregate_csv
2026-04,Construction,2.0,899.37,899.37,232.77,Sector-Wise-Report.csv,aggregate_csv
2026-04,Aviation & Aviation Infrastructure,26.0,21600.76,22814.76,10079.87,Sector-Wise-Report.csv,aggregate_csv
2026-04,Shipping,9.0,15124.41,15290.87,9338.98,Sector-Wise-Report.csv,aggregate_csv
2026-04,Urban Public Transport,28.0,335215.64,355797.17,208407.32,Sector-Wise-Report.csv,aggregate_csv
2026-04,Water Resources,41.0,117826.11,221647.32,157621.1,Sector-Wise-Report.csv,aggregate_csv
2026-04,Education,30.0,15617.88,15065.7,8502.74,Sector-Wise-Report.csv,aggregate_csv
2026-04,Healthcare,37.0,21179.22,25630.61,9929.58,Sector-Wise-Report.csv,aggregate_csv
2026-04,Electricity Generation,38.0,310690.33,369473.34,159125.31,Sector-Wise-Report.csv,aggregate_csv
2026-04,Transmission & Distribution,69.0,203950.25,209913.82,62393.44,Sector-Wise-Report.csv,aggregate_csv
2026-04,Oil & Gas,96.0,367211.08,395613.29,191970.51,Sector-Wise-Report.csv,aggregate_csv
2026-04,Coal,120.0,190252.37,187990.36,48934.69,Sector-Wise-Report.csv,aggregate_csv
2026-04,Railways,247.0,693607.15,844707.36,563949.55,Sector-Wise-Report.csv,aggregate_csv
2026-04,Roads & Highways,1108.0,1023675.67,1051567.26,323514.82,Sector-Wise-Report.csv,aggregate_csv
2026-04,"Tourism, Hospitality & Wellness",1.0,573.0,1238.05,545.51,Sector-Wise-Report.csv,aggregate_csv
2026-04,Waste & Water,30.0,9428.41,9496.94,5598.35,Sector-Wise-Report.csv,aggregate_csv
2026-04,Logistics Infrastructure,1.0,763.0,763.0,430.0,Sector-Wise-Report.csv,aggregate_csv
